Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"Custom filters (select dates and amounts), From date=2026-04-01, To date=2026-06-30","2026-06-26","payroll deposit","Pembina Trails School Division ","Credit","122.77","122.77"
"","2026-06-19","investment","Wealthsimple Investments Inc. ","Debit","-2242.94","0.00"
"","2026-06-19","customer transfer cr.","Mb-Transfer ","Credit","1802.56","2242.94"
"","2026-06-12","payroll deposit","Pembina Trails School Division ","Credit","153.46","440.38"
"","2026-05-29","payroll deposit","Pembina Trails School Division ","Credit","153.46","286.92"
"","2026-05-25","withdrawal","Free Interac E-Transfer ","Debit","-20.00","133.46"
"","2026-05-15","payroll deposit","Pembina Trails School Division ","Credit","153.46","153.46"
"","2026-05-08","customer transfer dr.","Mb-Transfer ","Debit","-163.78","0.00"
"","2026-05-01","payroll deposit","Pembina Trails School Division ","Credit","149.62","163.78"
"","2026-04-22","deposit","Mb-Dep ","Credit","14.16","14.16"
"","2026-04-21","customer transfer dr.","Mb-Transfer ","Debit","-76.73","0.00"
"","2026-04-17","payroll deposit","Pembina Trails School Division ","Credit","76.73","76.73"
"","2026-04-04","customer transfer dr.","Mb-Transfer ","Debit","-1560.24","0.00"
"","2026-04-02","payroll deposit","Pembina Trails School Division ","Credit","138.11","1560.24"
